"","combineId","playerId","combineYear","combinePosition","combineHeight","combineWeight","nameFirst","nameLast","nameFull","position","collegeId","nflId","college","heightInches","weight","dob","ageAtDraft","combine40yd","combineVert","combineBench","combineShuttle","combineBroad","combine3cone"
"85",14429,20000040,2000,"OLB",73.1,221,"Ian","Gold","Ian Gold","LB",48109,"2504263","Michigan",72,223,"1978-08-23",21.6602739726027,4.58,33,21,4.19,115,6.97
"87",14431,20000167,2000,"DT",77.3,316,"Ernest","Grant","Ernest Grant","DT",71601,"2504234","Arkansas-Pine Bluff",77,312,"1976-05-17",23.9287671232877,5.33,29.5,24,5.03,98,8
"93",14437,20000213,2000,"FB",71.6,253,"Mike","Green","Mike Green","RB",77006,"2504197","Houston",72,250,"1976-09-02",23.6328767123288,4.8,28.5,25,4.34,108,7.08
"94",14438,20000042,2000,"DE",75.1,297,"Cornelius","Griffin","Cornelius Griffin","DT",35487,"2504305","Alabama",76,303,"1976-12-03",23.3808219178082,4.91,31,30,4.62,111,7.63
"95",14439,20000137,2000,"OLB",75.4,253,"Clark","Haggans","Clark Haggans","LB",80523,"2504164","Colorado State",76,243,"1977-01-10",23.2767123287671,5.01,31.5,20,4.21,109,7.12
"96",14440,20000153,2000,"RB",67.8,191,"Dante","Hall","Dante Hall","WR",77843,"2504165","Texas A&M",68,187,"1978-09-20",21.5835616438356,4.46,38,18,3.82,123,6.62
"98",14442,20000533,2000,"RB",72.1,237,"Troy","Hambrick","Troy Hambrick","RB",31404,"2504152","Savannah State (GA)",73,233,"1976-11-06",23.4547945205479,4.72,34.5,21,4.44,118,7.48
"100",14444,20000171,2000,"RB",72.1,197,"Thomas","Hamner","Thomas Hamner","RB",55455,"2504131","Minnesota",72,197,"1976-12-25",23.3205479452055,4.54,32,17,4.07,125,6.97
"102",14446,20000187,2000,"CB",69.1,186,"Antwan","Harris","Antwan Harris","DB",22904,"2504208","Virginia",69,194,"1977-05-29",22.8958904109589,4.37,39,16,4.01,121,6.75
"104",14448,20000064,2000,"CB",70,190,"Lloyd","Harrison","Lloyd Harrison","DB",27607,"2504183","NC State",70,190,"1977-06-21",22.8328767123288,4.57,37.5,16,4.25,119,7.12
"107",14451,20000025,2000,"DT",74.4,305,"Chris","Hovan","Chris Hovan","DT",2459,"2504301","Boston",74,296,"1978-05-12",21.9424657534247,5,30,35,4.16,101,6.85
"112",14456,20000176,2000,"DT",76.9,296,"Jabari","Issa","Jabari Issa","DE",98195,"2504134","Washington",77,300,"1978-04-18",22.0082191780822,5.14,31.5,19,4.72,105,7.69
"117",14461,20000457,2000,"RB",73,242,"Marlion","Jackson","Marlion Jackson","RB",48604,"2503990","Saginaw Valley State (MI)",74,240,"1977-10-11",22.5260273972603,4.65,35.5,24,4.14,125,7.15
"118",14462,20000182,2000,"OG",75.1,320,"Jeno","James","Jeno James","OG",36849,"2504135","Auburn",76,320,"1977-01-12",23.2712328767123,5.66,25.5,24,5.22,94,8.51
"120",14464,20000518,2000,"FS",72.4,198,"Brandon","Jennings","Brandon Jennings","DB",77843,"2504073","Texas A&M",72,190,"1978-07-15",21.7671232876712,4.54,38,16,4.14,123,6.91
"123",14467,20000404,2000,"DT",76,285,"Dwight","Johnson","Dwight Johnson","DE",76706,"2503921","Baylor",76,290,"1977-01-30",23.2219178082192,5.03,28,26,4.76,105,7.51
"124",14468,20000403,2000,"SS",72,215,"Eric","Johnson","Eric Johnson","LB",68588,"2503920","Nebraska",72,241,"1976-04-30",23.9753424657534,4.63,38,12,4.17,121,6.96
"126",14470,20000138,2000,"OG",76,345,"Matt","Johnson","Matt Johnson","OG",84602,"2517719","BYU",76,310,"1973-09-24",26.5753424657534,5.6,28,35,4.99,99,8.07
"128",14472,20000512,2000,"OLB",74,247,"Fred","Jones","Fred Jones","LB",80309,"2504065","Colorado",74,245,"1977-10-18",22.5068493150685,4.98,32,17,4.39,113,7.27
"129",14473,20000520,2000,"TE",76.3,248,"John","Jones","John Jones","TE",15705,"2504077","Indiana (PA)",76,255,"1975-04-04",25.0493150684932,4.64,38.5,13,4.43,125,7.33
"130",14474,20000082,2000,"OG",75.9,330,"Leander","Jordan","Leander Jordan","OG",15705,"2504104","Indiana (PA)",76,320,"1977-09-15",22.5972602739726,5.53,31,25,4.76,104,7.91
"132",14476,20000097,2000,"RB",70,214,"Curtis","Keaton","Curtis Keaton","RB",22807,"2504108","James Madison (VA)",70,222,"1976-10-18",23.5068493150685,4.41,41.5,23,3.93,131,6.82
"135",14479,20000084,2000,"CB",68.9,183,"Ben","Kelly","Ben Kelly","DB",80309,"2504316","Colorado",69,185,"1978-09-15",21.5972602739726,4.56,36,17,3.95,116,6.63
"137",14481,20000045,2000,"FS",73,221,"Kenoy","Kennedy","Kenoy Kennedy","S",72701,"2504100","Arkansas",73,215,"1977-11-15",22.4301369863014,4.71,33.5,8,4.38,113,7.08
"140",14484,20000220,2000,"OG",74.1,305,"Andrew","Kline","Andrew Kline","OG",92115,"2504198","San Diego State",74,303,"1976-10-05",23.5424657534247,5.49,28,26,4.6,103,7.54
"144",14488,20000194,2000,"DT",76.5,300,"Leif","Larsen","Leif Larsen","DT",79968,"2504139","Texas-El Paso",76,300,"1975-04-03",25.0520547945205,5.12,30,45,4.37,110,7.46
"150",14494,20000087,2000,"ILB",76,259,"Dustin","Lyman","Dustin Lyman","TE",27106,"2504106","Wake Forest",77,254,"1976-08-05",23.7095890410959,4.7,35,22,4.06,118,6.86
"152",14496,20000130,2000,"CB",68.9,184,"Anthony","Malbrough","Anthony Malbrough","DB",79415,"2504120","Texas Tech",70,185,"1976-12-09",23.3643835616438,4.49,35.5,20,4,117,6.73
"158",14502,20000083,2000,"OT",75.9,328,"Damion","McIntosh","Damion McIntosh","OT",66506,"2504275","Kansas State",76,320,"1977-03-25",23.0739726027397,5.35,26,23,4.71,97,7.72
"159",14503,20000120,2000,"DT",76,289,"Alvin","McKinley","Alvin McKinley","DT",39762,"2504117","Mississippi State",75,294,"1978-06-09",21.8657534246575,5.1,27.5,22,4.61,102,7.73
"161",14505,20000060,2000,"C",75.4,298,"Brad","Meester","Brad Meester","OG",50701,"2503900","Northern Iowa",75,292,"1977-03-23",23.0794520547945,5.13,34,25,4.43,110,7.46
"162",14506,20000241,2000,"DE",77,284,"Rob","Meier","Rob Meier","DE",99164,"2503912","Washington State",77,315,"1977-08-29",22.6438356164384,5,30.5,27,4.52,113,7.49
"163",14507,20000148,2000,"OG",74.6,295,"Richard","Mercier","Richard Mercier","OG",33124,"2504231","Miami (FL)",75,300,"1975-05-13",24.9424657534247,5.4,26,18,4.78,97,7.84
"164",14508,20000414,2000,"ILB",73.1,246,"Keith","Miller","Keith Miller","LB",94720,"2503936","California",73,238,"1976-07-09",23.7835616438356,5.01,27.5,24,4.43,110,7.37
"168",14512,20000129,2000,"OG",75,320,"Mookie","Moore","Mookie Moore","OG",36082,"2504119","Troy (AL)",74,318,"1976-11-01",23.4684931506849,5.47,24.5,34,5.06,94,8.37
"172",14516,20000028,2000,"ILB",73.9,250,"Rob","Morris","Rob Morris","LB",84602,"2504303","BYU",74,243,"1975-01-18",25.2575342465753,4.77,33,18,4.17,113,6.93
"173",14517,20000156,2000,"FB",71.9,221,"Sammy","Morris","Sammy Morris","RB",79415,"2504126","Texas Tech",72,220,"1977-03-23",23.0794520547945,4.68,37.5,23,4.21,117,7.05
"177",14521,20000104,2000,"OT",75.6,317,"Kaulana","Noa","Kaulana Noa","OT",96813,"2504279","Hawaii",75,315,"1976-12-29",23.3095890410959,5.38,25.5,27,4.74,98,7.82
"180",14524,20000501,2000,"ILB",73.3,235,"Andre","O'Neal","Andre O'Neal","LB",25755,"2504051","Marshall",73,234,"1975-12-12",24.358904109589,4.72,34,16,4.24,114,7.3
"181",14525,20000434,2000,"C",75,277,"Matt","O'Neal","Matt O'Neal","C",73019,"2503963","Oklahoma",75,278,"1977-05-05",22.9616438356164,5.06,27.5,17,4.72,94,7.59
"182",14526,20000236,2000,"SS",73,208,"Erik","Olson","Erik Olson","DB",80523,"2503911","Colorado State",73,208,"1977-01-04",23.2931506849315,4.63,35,17,4.21,115,6.81
"186",14530,20000251,2000,"OLB",73.9,233,"DaShon","Polk","DaShon Polk","LB",85721,"2504149","Arizona",74,242,"1977-03-13",23.1068493150685,4.77,32,18,4.45,111,7.43
"187",14531,20000077,2000,"CB",69.9,197,"Hank","Poteat","Hank Poteat","DB",15260,"2504315","Pittsburgh",70,195,"1977-08-31",22.6383561643836,4.62,37,16,4,126,6.66
"188",14532,20000063,2000,"RB",71.8,225,"Travis","Prentice","Travis Prentice","RB",45056,"2504224","Miami (OH)",71,221,"1976-12-08",23.3671232876712,4.5,37,23,4.4,115,6.92
"193",14537,20000181,2000,"DE",76,283,"Quinton","Reese","Quinton Reese","DE",36849,"2523897","Auburn",76,283,"1977-08-26",22.6520547945205,5.13,30,18,4.68,101,7.91
"194",14538,20000131,2000,"OT",75.3,299,"Tutan","Reyes","Tutan Reyes","OG",38677,"2504212","Mississippi",75,310,"1977-10-28",22.4794520547945,5.38,26.5,20,4.88,99,7.49
"196",14540,20000055,2000,"DT",75.8,312,"Fred","Robbins","Fred Robbins","DT",27106,"2504311","Wake Forest",76,322,"1977-03-26",23.0712328767123,5.13,29.5,25,4.72,94,7.72
"197",14541,20000127,2000,"OT",77.6,333,"Greg","Robinson-Randall","Greg Robinson-Randall","OT",48824,"2504188","Michigan State",77,322,"1978-06-23",21.827397260274,5.62,26,22,5.13,95,8.15
"202",14546,20000215,2000,"OLB",75.3,241,"Sekou","Sanyika","Sekou Sanyika","LB",94720,"2504143","California",75,246,"1978-03-17",22.0958904109589,4.75,32.5,21,4.38,111,7.33
"205",14549,20000179,2000,"CB",70.3,193,"Tony","Scott","Tony Scott","DB",27607,"2503906","NC State",71,193,"1976-10-03",23.5479452054795,4.55,34,11,4.24,116,7.45
"206",14550,20000218,2000,"DT",74,316,"Richard","Seals","Richard Seals","DE",84112,"2525258","Utah",74,316,"1976-03-18",24.0931506849315,5.15,28.5,24,4.6,102,7.78
"209",14553,20000237,2000,"OT",77.4,318,"Wes","Shivers","Wes Shivers","OG",39762,"2504296","Mississippi State",77,321,"1977-03-08",23.1205479452055,5.68,22.5,18,4.81,98,8.48
"210",14554,20000067,2000,"OLB",72,237,"Mark","Simoneau","Mark Simoneau","LB",66506,"2503901","Kansas State",72,245,"1977-01-16",23.2602739726027,4.63,36,24,4.09,117,7.08
"211",14555,20000128,2000,"ILB",73.9,246,"Peter","Sirmon","Peter Sirmon","LB",97403,"2504205","Oregon",74,237,"1977-02-18",23.1698630136986,4.86,34.5,20,4.27,115,7.21
"212",14556,20000092,2000,"ILB",72.1,247,"T.J.","Slaughter","T.J. Slaughter","LB",39406,"2503903","Southern Miss",72,233,"1977-02-20",23.1643835616438,4.91,30,24,4.26,112,7.08
"215",14559,20000038,2000,"OT",77,320,"Marvel","Smith","Marvel Smith","OT",85287,"2504241","Arizona State",77,321,"1978-08-06",21.7068493150685,5.34,27.5,24,4.84,100,7.87
"216",14560,20000132,2000,"FB",70.6,220,"Paul","Smith","Paul Smith","FB",79968,"2504284","Texas-El Paso",71,242,"1978-01-31",22.2191780821918,4.65,26.5,25,4.29,111,7.02
"217",14561,20000096,2000,"FB",72,249,"Terrelle","Smith","Terrelle Smith","FB",85287,"2504204","Arizona State",72,246,"1978-03-12",22.1095890410959,5.01,32.5,19,4.85,109,8.38
"222",14566,20000141,2000,"TE",75.1,250,"Dave","Stachelski","Dave Stachelski","TE",83725,"2504213","Boise State",75,245,"1977-03-01",23.1397260273973,4.85,38,24,4.14,115,6.84
"223",14567,20000243,2000,"RB",67.4,204,"Shyrone","Stith","Shyrone Stith","RB",24061,"2503913","Virginia Tech",68,205,"1978-04-02",22.0520547945205,4.65,35,13,4.14,111,7.14
"225",14569,20000224,2000,"OG",75.4,318,"Mark","Tauscher","Mark Tauscher","OT",53706,"2504144","Wisconsin",75,320,"1977-06-17",22.8438356164384,5.43,27,22,4.84,90,7.91
"230",14574,20000100,2000,"OT",76.5,305,"Michael","Thompson","Michael Thompson","OT",37209,"2503904","Tennessee State",76,295,"1977-02-11",23.1890410958904,5.3,26,16,4.73,104,7.99
"231",14575,20000058,2000,"FS",73.3,194,"Travares","Tillman","Travares Tillman","S",30332,"2504267","Georgia Tech",73,205,"1977-10-08",22.5342465753425,4.6,37.5,15,4.29,123,6.95
"232",14576,20000136,2000,"DT",77.1,310,"Mao","Tosi","Mao Tosi","DT",83844,"2504122","Idaho",78,341,"1976-12-12",23.3561643835616,5.29,28.5,19,4.6,99,7.72
"235",14579,20000086,2000,"ILB",72.4,249,"Jeff","Ulbrich","Jeff Ulbrich","LB",96813,"2504203","Hawaii",72,240,"1977-02-17",23.172602739726,4.7,32,24,4.3,109,7.23
"236",14580,20000009,2000,"OLB",75.9,258,"Brian","Urlacher","Brian Urlacher","LB",87131,"2504098","New Mexico",76,258,"1978-05-25",21.9068493150685,4.61,34,27,4.18,122,6.94
"237",14581,20000211,2000,"CB",70.9,196,"Darrick","Vaughn","Darrick Vaughn","DB",78666,"2503907","Texas State-San Marcos",71,193,"1978-10-02",21.5506849315069,4.55,36.5,14,4.16,121,7.09
"239",14583,20000053,2000,"OT",79.9,326,"Todd","Wade","Todd Wade","OT",38677,"2504310","Mississippi",80,303,"1976-10-30",23.4739726027397,5.25,27.5,29,4.68,101,7.68
"241",14585,20000074,2000,"DT",72.6,307,"Steve","Warren","Steve Warren","DT",68588,"2504102","Nebraska",73,302,"1978-01-22",22.2438356164384,5.14,30.5,29,4.56,105,7.97
"243",14587,20000048,2000,"CB",69.1,180,"Jason","Webster","Jason Webster","DB",77843,"2504264","Texas A&M",69,187,"1977-09-08",22.6164383561644,4.46,35.5,17,3.98,122,6.76
"246",14590,20000203,2000,"CB",68.6,179,"Damen","Wheeler","Damen Wheeler","DB",80309,"2504289","Colorado",68,167,"1977-09-03",22.6301369863014,4.56,35,11,4.27,115,7.21
"249",14593,20000061,2000,"OT",75.8,332,"Bobbie","Williams","Bobbie Williams","OG",72701,"2504242","Arkansas",76,345,"1976-09-25",23.5698630136986,5.34,29,28,4.72,97,7.78
"258",14602,20000139,2000,"DE",74.4,278,"Brian","Young","Brian Young","DT",79968,"2504285","Texas-El Paso",74,298,"1977-07-08",22.786301369863,4.96,29.5,27,4.47,106,7.2
"260",14604,20010192,2001,"FB",71.9,257,"Dan","Alexander","Dan Alexander","RB",68588,"2504736","Nebraska",72,257,"1978-03-17",23.1123287671233,4.48,34,15,4.16,115,7.34
"263",14607,20010022,2001,"CB",70.5,192,"Will","Allen","Will Allen","DB",13244,"2504716","Syracuse",70,195,"1978-08-05",22.7260273972603,4.44,39.5,14,3.9,121,6.78
"266",14610,20010477,2001,"OG",77.8,293,"Tom","Ashworth","Tom Ashworth","OT",80309,"2504427","Colorado",78,306,"1977-10-10",23.5452054794521,5.11,33.5,20,4.3,109,7.4
"267",14611,20010141,2001,"TE",75.6,255,"Billy","Baber","Billy Baber","TE",22904,"2504548","Virginia",76,260,"1979-01-17",22.2739726027397,4.77,33,22,4.19,106,7.12
"268",14612,20010018,2001,"OT",77.5,310,"Jeff","Backus","Jeff Backus","OT",48109,"2504693","Michigan",77,305,"1977-09-21",23.5972602739726,5.29,27,25,4.67,99,8.27
"271",14615,20010037,2001,"FS",74.3,206,"Idrees","Bashir","Idrees Bashir","S",38152,"2504717","Memphis",74,198,"1978-12-07",22.386301369863,4.55,40,22,4.2,126,7.14
"274",14618,20010107,2001,"DE",75.8,270,"Monty","Beisel","Monty Beisel","DE",66506,"2504727","Kansas State",76,246,"1978-08-20",22.6849315068493,4.82,34.5,26,4.28,110,7.32
"275",14619,20010039,2001,"ILB",73.3,234,"Kendrell","Bell","Kendrell Bell","LB",30602,"2504576","Georgia",73,245,"1980-07-02",20.8164383561644,4.62,38.5,24,4.5,124,7.25
"282",14626,20010210,2001,"CB",71.4,210,"Harold","Blackmon","Harold Blackmon","S",60208,"2504625","Northwestern",71,216,"1978-05-20",22.9369863013699,4.47,37,17,4.28,121,7.03
"283",14627,20010150,2001,"RB",69.9,194,"Derrick","Blaylock","Derrick Blaylock","RB",75962,"2504574","Stephen F. Austin (TX)",68,208,"1979-08-23",21.6767123287671,4.39,35.5,18,4.09,119,7.05
"285",14629,20010484,2001,"OG",79.1,332,"Jarvis","Borum","Jarvis Borum","OT",27607,"2504436","NC State",79,340,"1978-09-16",22.6109589041096,5.04,30.5,25,4.83,107,8.08
"286",14630,20010034,2001,"DE",76.1,270,"Kyle","Vanden Bosch","Kyle Vanden Bosch","DE",68588,"2504636","Nebraska",76,278,"1978-11-17",22.441095890411,4.66,36.5,26,4.08,119,6.82
"290",14634,20010066,2001,"TE",75.8,255,"Sean","Brewer","Sean Brewer","TE",95192,"2504652","San Jose State",76,255,"1977-10-05",23.558904109589,4.75,36,14,4.18,117,7.37
"295",14639,20010145,2001,"CB",70,173,"Jerametrius","Butler","Jerametrius Butler","DB",66506,"2504611","Kansas State",70,185,"1978-11-28",22.4109589041096,4.57,36,11,4.4,121,7.22
"298",14642,20010244,2001,"FS",71.9,214,"Robert","Carswell","Robert Carswell","S",29631,"2504599","Clemson",71,215,"1978-10-26",22.5013698630137,4.59,34,21,4.18,106,7.14
"302",14646,20010055,2001,"ILB",75.9,227,"Quinton","Caver","Quinton Caver","LB",72701,"2504750","Arkansas",76,241,"1978-08-22",22.6794520547945,4.66,37.5,23,4.25,118,7.66
"305",14649,20010157,2001,"OLB",73.6,238,"Patrick","Chukwurah","Patrick Chukwurah","LB",82071,"2504700","Wyoming",73,250,"1979-03-01",22.1561643835616,4.75,40,24,4.21,119,7.34
"308",14652,20010228,2001,"RB",72.1,193,"Derek","Combs","Derek Combs","DB",43210,"2504676","Ohio State",72,185,"1979-02-28",22.158904109589,4.45,35,8,4.07,120,6.96
"309",14653,20010174,2001,"FB",69.9,226,"Jameel","Cook","Jameel Cook","FB",61801,"2504645","Illinois",70,237,"1979-02-08",22.213698630137,4.79,29.5,17,4.38,108,7.55
"310",14654,20010184,2001,"DE",77.3,272,"Chris","Cooper","Chris Cooper","DT",68182,"2504674","Nebraska-Omaha",77,285,"1977-02-27",24.1616438356164,4.96,35.5,24,4.21,114,7.12
"313",14657,20010188,2001,"OLB",74.8,242,"Rick","Crowell","Rick Crowell","LB",80523,"2512266","Colorado State",75,242,"1977-05-21",23.9342465753425,5,31.5,19,4.35,109,7.54
"315",14659,20010035,2001,"TE",74.5,266,"Alge","Crumpler","Alge Crumpler","TE",27599,"2504554","North Carolina",74,275,"1977-12-23",23.3424657534247,4.79,34,22,4.43,112,7.38
"317",14661,20010221,2001,"DT",75.9,302,"Ennis","Davis","Ennis Davis","DT",90089,"2512549","USC",76,302,"1977-12-02",23.4,5.1,27.5,23,4.87,99,7.98
"318",14662,20010002,2001,"OT",78,370,"Leonard","Davis","Leonard Davis","OG",78712,"2504776","Texas",78,355,"1978-09-05",22.641095890411,5.32,28,33,5.18,105,8.2
"319",14663,20010220,2001,"OG",75.9,307,"Rick","DeMulling","Rick DeMulling","OG",83844,"2504591","Idaho",76,304,"1977-07-21",23.7671232876712,5.29,31.5,32,4.6,108,7.62
"324",14668,20010156,2001,"OG",75.4,303,"Shawn","Draper","Shawn Draper","OT",35487,"2504620","Alabama",75,275,"1979-04-05",22.0602739726027,5.28,32,17,4.77,106,8.1
"328",14672,20010082,2001,"FB",71.9,246,"Heath","Evans","Heath Evans","FB",36849,"2504756","Auburn",72,250,"1978-12-30",22.3232876712329,4.61,34.5,30,4.24,111,7.3
"332",14676,20010205,2001,"TE",76,262,"Dauntae","Finger","Dauntae Finger","TE",27599,"2514028","North Carolina",76,262,"1977-04-05",24.0602739726027,5.09,33.5,15,4.59,103,7.95
"334",14678,20010219,2001,"OG",74.4,312,"Kynan","Forney","Kynan Forney","OG",96813,"2504540","Hawaii",75,302,"1978-09-08",22.6328767123288,5.29,27,23,4.7,97,8.56
"336",14680,20010127,2001,"FS",69.9,186,"Curtis","Fuller","Curtis Fuller","S",76109,"2504573","Texas Christian",70,188,"1978-07-25",22.7561643835616,4.43,36,18,4.21,114,7.2
"339",14683,20010099,2001,"C",74.1,303,"Roberto","Garza","Roberto Garza","OG",78363,"2504538","Texas A&M-Kingsville",74,310,"1979-03-26",22.0876712328767,5.01,32.5,37,4.53,114,7.71
"342",14686,20010173,2001,"OLB",72.6,236,"Jason","Glenn","Jason Glenn","LB",77843,"2504655","Texas A&M",72,231,"1979-08-20",21.6849315068493,4.93,36,14,4.31,115,7.16
"344",14688,20010088,2001,"OLB",72.4,237,"Morlon","Greenwood","Morlon Greenwood","LB",13244,"2504698","Syracuse",72,241,"1978-07-17",22.7780821917808,4.61,33.5,21,4.08,112,7.62
"348",14692,20010113,2001,"C",77,303,"Ben","Hamilton","Ben Hamilton","OG",55455,"2504622","Minnesota",77,290,"1977-08-18",23.6904109589041,5.29,33.5,17,4.62,106,7.62
